text,label,language
"so Wow, I did not expect that!",surprise,en
मैं बहुत गुस्से में हूँ। बस,anger,hi
कुछ खास नहीं हुआ। आज,neutral,hi
"I can't tolerate this, I'm mad...",anger,en
very It is an ordinary day...,neutral,en
"Wow, I did not expect that! not...",surprise,en
यह घिनौना है। आज,disgust,hi
quite This makes me so angry and annoyed!,anger,en
मुझे बहुत दुख है।,sadness,hi
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
depressed,sadness,en
मुझे बहुत दुख है। अभी,sadness,hi
absolutely I feel so sad and empty. hardly...,sadness,en
That was unacceptable and enraging.,anger,en
I'm feeling heartbroken and low.,sadness,en
I am worried sick and afraid.,fear,en
I am so happy today!.,joy,en
so I'm astonished by the news.,surprise,en
मुझे डर लग रहा है। अभी,fear,hi
what?,surprise,en
very I have no strong feelings about it. barely,neutral,en
very I feel wonderful and joyful!,joy,en
That was disgusting and gross.,disgust,en
"I can't stand it, it's disgusting.",disgust,en
I feel so sad and empty.,sadness,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
मैं उत्साहित और प्रसन्न हूँ।,joy,hi
"Today was a rough day, I feel down.",sadness,en
मैं भयभीत हूँ। बस,fear,hi
क्या! मैंने यह सोचा नहीं था। अभी,surprise,hi
I feel anxious and fearful right now.,fear,en
feels bad,sadness,en
मैं बस घर पर हूँ।,neutral,hi
absolutely I'm feeling heartbroken and low. never,sadness,en
Just another normal day.,neutral,en
क्या! मैंने यह सोचा नहीं था। अभी,surprise,hi
nasty,disgust,en
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
That was unacceptable and enraging!,anger,en
quite That was a shocking surprise.,surprise,en
so happy,joy,en
so What an unexpected event! barely,surprise,en
yuck,disgust,en
मैं बहुत गुस्से में हूँ। आज,anger,hi
I'm astonished by the news!,surprise,en
I went to the store today!,neutral,en
"I can't tolerate this, I'm mad.",anger,en
oh!,surprise,en
"Today was a rough day, I feel down.",sadness,en
मैं बस घर पर हूँ। अभी,neutral,hi
That was unacceptable and enraging.,anger,en
That was a shocking surprise.,surprise,en
मुझे डर लग रहा है। बस,fear,hi
I am so happy today!,joy,en
absolutely What an unexpected event!!,surprise,en
woohoo!,joy,en
I'm astonished by the news. hardly,surprise,en
extremely I am worried sick and afraid.,fear,en
This makes me sick to my stomach.,disgust,en
मुझे यह बहुत घटिया लगा। अभी,disgust,hi
This situation terrifies me!,fear,en
I am worried sick and afraid. not.,fear,en
मैं भयभीत हूँ। अभी,fear,hi
quite This situation terrifies me.,fear,en
मुझे बहुत दुख है। आज,sadness,hi
extremely I feel wonderful and joyful.,joy,en
"Today was a rough day, I feel down.",sadness,en
really This makes me so angry and annoyed. hardly,anger,en
मैं आज बहुत खुश हूँ।,joy,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। बस",anger,hi
yay!,joy,en
absolutely This makes me so angry and annoyed.,anger,en
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
मुझे यह बहुत घटिया लगा। बस,disgust,hi
extremely I feel revulsion at this.,disgust,en
I went to the store today.,neutral,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
so mad,anger,en
मुझे बहुत दुख है। आज,sadness,hi
कुछ खास नहीं हुआ। बस,neutral,hi
"really This made my day, I'm ecstatic...",joy,en
मैं बस घर पर हूँ। अभी,neutral,hi
"very Wow, I did not expect that!...",surprise,en
very What a fantastic moment!,joy,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
Just another normal day.,neutral,en
so I feel wonderful and joyful. barely,joy,en
It is an ordinary day.,neutral,en
extremely This makes me so angry and annoyed.,anger,en
"absolutely I can't stand it, it's disgusting.",disgust,en
That was unacceptable and enraging. barely,anger,en
मैं बस घर पर हूँ। अभी,neutral,hi
"so This made my day, I'm ecstatic.",joy,en
"really I can't stop crying, I'm devastated.",sadness,en
I am so happy today!,joy,en
क्या! मैंने यह सोचा नहीं था। आज,surprise,hi
यह घिनौना है।,disgust,hi
I'm feeling heartbroken and low.,sadness,en
very I am furious about what happened!,anger,en
मैं आज बहुत खुश हूँ। आज,joy,hi
quite This makes me sick to my stomach.,disgust,en
मैं उदास महसूस कर रहा हूँ।,sadness,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है।",anger,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
really I feel revulsion at this.,disgust,en
very I am worried sick and afraid.,fear,en
I'm astonished by the news...,surprise,en
I am worried sick and afraid.,fear,en
I'm astonished by the news.,surprise,en
what?,surprise,en
I have no strong feelings about it.,neutral,en
मैं आज बहुत खुश हूँ। आज,joy,hi
feels good,joy,en
no way!,surprise,en
मैं भयभीत हूँ।,fear,hi
I'm scared about the test tomorrow.,fear,en
absolutely I feel revulsion at this.,disgust,en
यह घिनौना है। आज,disgust,hi
"I can't stand it, it's disgusting.",disgust,en
"This made my day, I'm ecstatic...",joy,en
मुझे यह बहुत घटिया लगा। आज,disgust,hi
क्या! मैंने यह सोचा नहीं था। आज,surprise,hi
मैं आज बहुत खुश हूँ। बस,joy,hi
I went to the store today!,neutral,en
मैं बहुत गुस्से में हूँ। अभी,anger,hi
very That was unacceptable and enraging.,anger,en
extremely That was unacceptable and enraging!,anger,en
really I am furious about what happened! never,anger,en
What an unexpected event!,surprise,en
मैं उदास महसूस कर रहा हूँ।,sadness,hi
This makes me so angry and annoyed.,anger,en
I went to the store today.,neutral,en
कुछ खास नहीं हुआ। बस,neutral,hi
मुझे डर लग रहा है।,fear,hi
This situation terrifies me. not,fear,en
"so I can't tolerate this, I'm mad. not...",anger,en
"quite Wow, I did not expect that! not",surprise,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
I am furious about what happened!,anger,en
"I can't stand it, it's disgusting...",disgust,en
I have no strong feelings about it. never,neutral,en
Just another normal day.,neutral,en
मैं भयभीत हूँ। आज,fear,hi
What an unexpected event!.,surprise,en
I am worried sick and afraid. barely,fear,en
मैं बस घर पर हूँ। आज,neutral,hi
"I can't tolerate this, I'm mad.",anger,en
really I am worried sick and afraid.,fear,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
totally It is an ordinary day.,neutral,en
मुझे यह बहुत घटिया लगा।,disgust,hi
It is an ordinary day.,neutral,en
"I can't stand it, it's disgusting. barely",disgust,en
absolutely I went to the store today.,neutral,en
मैं भयभीत हूँ। आज,fear,hi
so I feel revulsion at this.,disgust,en
"absolutely Wow, I did not expect that! not",surprise,en
"I can't tolerate this, I'm mad.",anger,en
"really I can't tolerate this, I'm mad.",anger,en
really That was disgusting and gross.,disgust,en
I am worried sick and afraid.,fear,en
feels good,joy,en
"so I can't stop crying, I'm devastated.",sadness,en
What an unexpected event!,surprise,en
मुझे डर लग रहा है। अभी,fear,hi
यह घिनौना है। अभी,disgust,hi
I am furious about what happened!,anger,en
absolutely It is an ordinary day.,neutral,en
This situation terrifies me!,fear,en
grr,anger,en
This situation terrifies me.,fear,en
extremely I'm feeling heartbroken and low.,sadness,en
"This made my day, I'm ecstatic. never",joy,en
Just another normal day.,neutral,en
कुछ खास नहीं हुआ। बस,neutral,hi
grr,anger,en
quite This situation terrifies me.,fear,en
यह घिनौना है। आज,disgust,hi
"This made my day, I'm ecstatic!",joy,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
मुझे बहुत दुख है।,sadness,hi
quite I feel revulsion at this.,disgust,en
यह वाकई में आश्चर्यजनक है।,surprise,hi
मैं बस घर पर हूँ। आज,neutral,hi
मुझे यह बहुत घटिया लगा।,disgust,hi
I feel revulsion at this!,disgust,en
I'm feeling heartbroken and low. not,sadness,en
so-so,neutral,en
What a fantastic moment!,joy,en
really I feel so sad and empty.,sadness,en
extremely This situation terrifies me!,fear,en
fine,neutral,en
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
यह घिनौना है। अभी,disgust,hi
यह घिनौना है।,disgust,hi
"I can't stand it, it's disgusting.",disgust,en
मैं भयभीत हूँ। आज,fear,hi
I'm feeling heartbroken and low!,sadness,en
quite I'm astonished by the news. not,surprise,en
very nervous,fear,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
That was a shocking surprise.,surprise,en
I am worried sick and afraid.,fear,en
यह वाकई में आश्चर्यजनक है।,surprise,hi
feels bad,sadness,en
"Wow, I did not expect that!",surprise,en
मैं बस घर पर हूँ। अभी,neutral,hi
quite I feel wonderful and joyful.,joy,en
मैं बस घर पर हूँ। अभी,neutral,hi
"very Wow, I did not expect that! never",surprise,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। बस",anger,hi
I feel so sad and empty.,sadness,en
This makes me so angry and annoyed!,anger,en
quite I feel so sad and empty!,sadness,en
quite This makes me sick to my stomach. barely,disgust,en
really That was a shocking surprise.,surprise,en
I feel anxious and fearful right now.,fear,en
totally This makes me sick to my stomach.,disgust,en
wow,surprise,en
This makes me sick to my stomach.,disgust,en
That was disgusting and gross.,disgust,en
मैं भयभीत हूँ। अभी,fear,hi
मैं बहुत गुस्से में हूँ।,anger,hi
यह घिनौना है।,disgust,hi
This makes me so angry and annoyed. never,anger,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
मैं बस घर पर हूँ। अभी,neutral,hi
मैं उत्साहित और प्रसन्न हूँ। आज,joy,hi
"I can't stand it, it's disgusting.",disgust,en
extremely I feel anxious and fearful right now.,fear,en
absolutely I am furious about what happened!,anger,en
मैं बस घर पर हूँ। आज,neutral,hi
I feel wonderful and joyful.,joy,en
absolutely I feel so sad and empty.,sadness,en
कुछ खास नहीं हुआ। आज,neutral,hi
कुछ खास नहीं हुआ। अभी,neutral,hi
really I'm scared about the test tomorrow!,fear,en
"This made my day, I'm ecstatic. hardly",joy,en
यह घिनौना है। अभी,disgust,hi
यह वाकई में आश्चर्यजनक है। आज,surprise,hi
"Today was a rough day, I feel down.",sadness,en
मुझे डर लग रहा है।,fear,hi
absolutely What a fantastic moment!!,joy,en
मुझे बहुत दुख है।,sadness,hi
यह घिनौना है। अभी,disgust,hi
मुझे बहुत दुख है। अभी,sadness,hi
so-so,neutral,en
मैं बहुत गुस्से में हूँ। अभी,anger,hi
"quite I can't stand it, it's disgusting.",disgust,en
"I can't stand it, it's disgusting.",disgust,en
मैं बस घर पर हूँ। अभी,neutral,hi
I'm scared about the test tomorrow.,fear,en
That was a shocking surprise.,surprise,en
That was disgusting and gross!,disgust,en
wow,surprise,en
यह घिनौना है। आज,disgust,hi
so I'm scared about the test tomorrow. barely,fear,en
ugh,disgust,en
मुझे डर लग रहा है। आज,fear,hi
I have no strong feelings about it.,neutral,en
मैं बहुत गुस्से में हूँ। अभी,anger,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
"This made my day, I'm ecstatic.",joy,en
I'm scared about the test tomorrow. never...,fear,en
I feel revulsion at this!,disgust,en
I feel revulsion at this!,disgust,en
What a fantastic moment!,joy,en
totally What a fantastic moment!,joy,en
"totally I can't stand it, it's disgusting. hardly!",disgust,en
"really I can't stop crying, I'm devastated.",sadness,en
मुझे यह बहुत घटिया लगा। अभी,disgust,hi
extremely I am worried sick and afraid.,fear,en
मैं बहुत गुस्से में हूँ। अभी,anger,hi
मैं बस घर पर हूँ। आज,neutral,hi
It is an ordinary day.,neutral,en
कुछ खास नहीं हुआ। आज,neutral,hi
Just another normal day.,neutral,en
मैं भयभीत हूँ। आज,fear,hi
quite I feel wonderful and joyful.,joy,en
"totally I can't stand it, it's disgusting!",disgust,en
This makes me sick to my stomach.,disgust,en
very I'm feeling heartbroken and low!,sadness,en
मैं आज बहुत खुश हूँ।,joy,hi
I'm astonished by the news!,surprise,en
What an unexpected event!...,surprise,en
yay!,joy,en
यह घिनौना है। आज,disgust,hi
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
मैं उदास महसूस कर रहा हूँ। अभी,sadness,hi
मैं भयभीत हूँ। बस,fear,hi
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
quite I'm astonished by the news. barely,surprise,en
I am so happy today!,joy,en
मैं भयभीत हूँ। आज,fear,hi
क्या! मैंने यह सोचा नहीं था। अभी,surprise,hi
absolutely I'm scared about the test tomorrow...,fear,en
"Today was a rough day, I feel down.",sadness,en
very I feel revulsion at this.,disgust,en
furious,anger,en
"I can't stop crying, I'm devastated.",sadness,en
depressed,sadness,en
"This made my day, I'm ecstatic.",joy,en
That was unacceptable and enraging.,anger,en
I feel wonderful and joyful.,joy,en
कुछ खास नहीं हुआ। बस,neutral,hi
I'm astonished by the news.,surprise,en
मैं आज बहुत खुश हूँ। आज,joy,hi
What a fantastic moment! never,joy,en
मैं बहुत गुस्से में हूँ। बस,anger,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
What a fantastic moment!!,joy,en
"Today was a rough day, I feel down.",sadness,en
so This situation terrifies me.,fear,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। आज",anger,hi
quite I'm astonished by the news.,surprise,en
so happy,joy,en
"Today was a rough day, I feel down. hardly",sadness,en
मैं भयभीत हूँ। आज,fear,hi
I'm feeling heartbroken and low.,sadness,en
This situation terrifies me.,fear,en
I'm astonished by the news. not!,surprise,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
woohoo!,joy,en
very I feel anxious and fearful right now.,fear,en
so I feel wonderful and joyful.,joy,en
I am so happy today!...,joy,en
मुझे बहुत दुख है। अभी,sadness,hi
really What an unexpected event!,surprise,en
It is an ordinary day.,neutral,en
so I'm astonished by the news.,surprise,en
मैं उदास महसूस कर रहा हूँ। अभी,sadness,hi
कुछ खास नहीं हुआ। आज,neutral,hi
I'm scared about the test tomorrow.,fear,en
absolutely I went to the store today.,neutral,en
really It is an ordinary day. not,neutral,en
really I am so happy today!...,joy,en
ugh,disgust,en
"so This made my day, I'm ecstatic. hardly",joy,en
This makes me so angry and annoyed.,anger,en
totally What a fantastic moment!.,joy,en
yay!,joy,en
I feel wonderful and joyful.,joy,en
quite I am so happy today!!,joy,en
really I'm feeling heartbroken and low.,sadness,en
That was unacceptable and enraging.,anger,en
"so I can't stop crying, I'm devastated.",sadness,en
This makes me so angry and annoyed.,anger,en
That was a shocking surprise.,surprise,en
क्या! मैंने यह सोचा नहीं था। अभी,surprise,hi
मैं उत्साहित और प्रसन्न हूँ। आज,joy,hi
I feel so sad and empty. hardly,sadness,en
"I can't stop crying, I'm devastated. never...",sadness,en
absolutely This situation terrifies me. hardly,fear,en
totally I feel anxious and fearful right now.,fear,en
मुझे यह बहुत घटिया लगा।,disgust,hi
This makes me so angry and annoyed!,anger,en
यह वाकई में आश्चर्यजनक है।,surprise,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। आज",anger,hi
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
"Today was a rough day, I feel down.",sadness,en
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
Just another normal day.,neutral,en
"so Today was a rough day, I feel down!",sadness,en
totally I am so happy today!!,joy,en
so I feel wonderful and joyful.,joy,en
मुझे यह बहुत घटिया लगा। अभी,disgust,hi
मैं बस घर पर हूँ। अभी,neutral,hi
What a fantastic moment!,joy,en
I feel so sad and empty.,sadness,en
मैं भयभीत हूँ।,fear,hi
I feel revulsion at this...,disgust,en
I am so happy today!...,joy,en
I am worried sick and afraid.,fear,en
"I can't stand it, it's disgusting.",disgust,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
I am worried sick and afraid.,fear,en
I have no strong feelings about it.,neutral,en
यह घिनौना है।,disgust,hi
very This situation terrifies me.,fear,en
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
I went to the store today.,neutral,en
grr,anger,en
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
मुझे बहुत दुख है। अभी,sadness,hi
मैं आज बहुत खुश हूँ।,joy,hi
This makes me sick to my stomach.,disgust,en
quite I went to the store today.,neutral,en
quite I'm scared about the test tomorrow.,fear,en
मैं आज बहुत खुश हूँ। बस,joy,hi
tearful,sadness,en
meh,neutral,en
मुझे डर लग रहा है। बस,fear,hi
That was disgusting and gross!,disgust,en
मैं भयभीत हूँ। आज,fear,hi
This situation terrifies me.,fear,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। बस",anger,hi
मैं बस घर पर हूँ। अभी,neutral,hi
extremely It is an ordinary day.,neutral,en
extremely I feel wonderful and joyful.,joy,en
"very I can't stop crying, I'm devastated.",sadness,en
This situation terrifies me.,fear,en
I'm astonished by the news...,surprise,en
really That was unacceptable and enraging. hardly,anger,en
मुझे डर लग रहा है। अभी,fear,hi
what?,surprise,en
"I can't stand it, it's disgusting...",disgust,en
so happy,joy,en
This makes me so angry and annoyed.,anger,en
very nervous,fear,en
That was disgusting and gross.,disgust,en
That was disgusting and gross.,disgust,en
मैं बस घर पर हूँ।,neutral,hi
quite I am furious about what happened!.,anger,en
totally It is an ordinary day.,neutral,en
no way!,surprise,en
yuck,disgust,en
मैं उत्साहित और प्रसन्न हूँ। अभी,joy,hi
मैं बस घर पर हूँ। अभी,neutral,hi
यह घिनौना है। आज,disgust,hi
यह घिनौना है। आज,disgust,hi
so That was unacceptable and enraging...,anger,en
very I feel so sad and empty. not,sadness,en
कुछ खास नहीं हुआ। बस,neutral,hi
यह घिनौना है। आज,disgust,hi
absolutely What an unexpected event! hardly,surprise,en
मुझे यह बहुत घटिया लगा।,disgust,hi
That was disgusting and gross!,disgust,en
What an unexpected event!,surprise,en
मैं बस घर पर हूँ।,neutral,hi
This makes me sick to my stomach.,disgust,en
"very I can't tolerate this, I'm mad.",anger,en
I'm scared about the test tomorrow.,fear,en
quite What an unexpected event!!,surprise,en
"This made my day, I'm ecstatic.",joy,en
extremely That was unacceptable and enraging.,anger,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
That was disgusting and gross.,disgust,en
what?,surprise,en
I have no strong feelings about it.,neutral,en
quite I am furious about what happened!,anger,en
मुझे बहुत दुख है। बस,sadness,hi
कुछ खास नहीं हुआ।,neutral,hi
That was a shocking surprise.,surprise,en
really What a fantastic moment! never,joy,en
really What an unexpected event!,surprise,en
यह घिनौना है। अभी,disgust,hi
"I can't stand it, it's disgusting.",disgust,en
मैं उत्साहित और प्रसन्न हूँ। आज,joy,hi
क्या! मैंने यह सोचा नहीं था। आज,surprise,hi
totally I am worried sick and afraid.,fear,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
It is an ordinary day. never.,neutral,en
यह घिनौना है। बस,disgust,hi
That was unacceptable and enraging.,anger,en
totally This makes me sick to my stomach.,disgust,en
मुझे डर लग रहा है।,fear,hi
I am worried sick and afraid.,fear,en
feels bad,sadness,en
That was a shocking surprise!,surprise,en
totally This makes me sick to my stomach. hardly...,disgust,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
मैं बस घर पर हूँ।,neutral,hi
That was unacceptable and enraging.,anger,en
so sad,sadness,en
quite I am so happy today!.,joy,en
"Wow, I did not expect that!",surprise,en
It is an ordinary day.,neutral,en
I went to the store today.,neutral,en
"Wow, I did not expect that!!",surprise,en
मैं आज बहुत खुश हूँ। आज,joy,hi
absolutely I am so happy today!,joy,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। आज",anger,hi
This makes me so angry and annoyed!,anger,en
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
so That was disgusting and gross.,disgust,en
I am so happy today!!,joy,en
"extremely I can't stop crying, I'm devastated. never",sadness,en
extremely I am furious about what happened!,anger,en
I'm astonished by the news.,surprise,en
मैं उदास महसूस कर रहा हूँ।,sadness,hi
"really Today was a rough day, I feel down.",sadness,en
"I can't tolerate this, I'm mad.",anger,en
यह घिनौना है। अभी,disgust,hi
"I can't stop crying, I'm devastated. not",sadness,en
absolutely It is an ordinary day. barely!,neutral,en
यह घिनौना है। अभी,disgust,hi
absolutely I am worried sick and afraid...,fear,en
यह घिनौना है। अभी,disgust,hi
extremely What an unexpected event!,surprise,en
yuck,disgust,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। आज",anger,hi
मैं बहुत गुस्से में हूँ। बस,anger,hi
so happy,joy,en
extremely I feel revulsion at this.,disgust,en
"Today was a rough day, I feel down.",sadness,en
मुझे बहुत दुख है। आज,sadness,hi
very What a fantastic moment!,joy,en
I'm astonished by the news!,surprise,en
really Just another normal day.,neutral,en
angry!,anger,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
क्या! मैंने यह सोचा नहीं था। आज,surprise,hi
मैं भयभीत हूँ। आज,fear,hi
feels bad,sadness,en
very It is an ordinary day.,neutral,en
मैं बहुत गुस्से में हूँ। आज,anger,hi
मुझे डर लग रहा है। बस,fear,hi
कुछ खास नहीं हुआ। बस,neutral,hi
कुछ खास नहीं हुआ।,neutral,hi
I'm scared about the test tomorrow.,fear,en
"Today was a rough day, I feel down.",sadness,en
I'm scared about the test tomorrow. barely...,fear,en
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
totally I am worried sick and afraid.,fear,en
कुछ खास नहीं हुआ। बस,neutral,hi
"I can't stop crying, I'm devastated. never",sadness,en
"I can't stop crying, I'm devastated.",sadness,en
I'm feeling heartbroken and low.,sadness,en
This makes me sick to my stomach.,disgust,en
fine,neutral,en
I'm astonished by the news.,surprise,en
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
मुझे डर लग रहा है। बस,fear,hi
मैं बहुत गुस्से में हूँ। आज,anger,hi
मुझे यह बहुत घटिया लगा। बस,disgust,hi
very I feel so sad and empty. not,sadness,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
मैं आज बहुत खुश हूँ। अभी,joy,hi
मैं भयभीत हूँ। बस,fear,hi
कुछ खास नहीं हुआ। बस,neutral,hi
I feel so sad and empty.,sadness,en
This situation terrifies me.,fear,en
depressed,sadness,en
मैं बस घर पर हूँ।,neutral,hi
मैं आज बहुत खुश हूँ।,joy,hi
so I'm scared about the test tomorrow.,fear,en
मैं बस घर पर हूँ।,neutral,hi
quite I am furious about what happened! never,anger,en
मुझे बहुत दुख है। अभी,sadness,hi
"Wow, I did not expect that!",surprise,en
really I feel so sad and empty.,sadness,en
really I am so happy today!,joy,en
"so Wow, I did not expect that!",surprise,en
totally I feel revulsion at this.,disgust,en
मैं बहुत गुस्से में हूँ। अभी,anger,hi
मुझे यह बहुत घटिया लगा।,disgust,hi
extremely I'm astonished by the news.,surprise,en
"quite Wow, I did not expect that!",surprise,en
"I can't tolerate this, I'm mad.",anger,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
मुझे बहुत दुख है। आज,sadness,hi
